(0, 13)
(0, 14)
(3, 0)
(5, 14)
(1, 5)
(9, 13)
(9, 14)
(9, 14)
(8, 9)
(6, 8)
(1, 6)
(12, 0)
(1, 12)
(1, 9)
(2, 1)
(2, 1)
(4, 1)
(3, 4)
(8, 3)
(8, 3)
(2, 8)
(0, 2)
(0, 2)
(0, 2)
(12, 0)
(12, 0)
(8, 12)
(8, 12)
(8, 1)
(5, 8)
(5, 8)
(5, 8)
(5, 13)
(3, 5)
(3, 5)
(3, 5)
(10, 3)
(7, 10)
(7, 8)
(6, 7)
(11, 6)
(6, 7)
(11, 9),
(7, 6)
(11, 0)
(11, 3)
(4, 11)
(4, 11)
(6, 7)
(10, 4)
(7, 6)
(10, 4)
(6, 7)
(10, 3)
(7, 6)
(10, 5)
(6, 7)
(6, 10)
(7, 10)
(7, 10)
(7, 10)
(7, 11)
(12, 6)
(12, 6)
(12, 7)
(12, 11)
(6, 12)
(6, 12)
(6, 12)
(6, 13)
(7, 12)
